target,papers,coauthors,"NI (0,1)","Time (0,1)"
A1,14,23,1,0
A2,36,60,1,0
A3,8,26,1,0
A4,16,18,1,0
A5,1,3,1,0
A6,4,19,1,0
A7,10,16,1,0
A8,73,73,1,0
A9,16,64,1,0
A10,15,30,1,0
A11,15,34,1,0
A12,13,43,1,0
A13,9,35,1,0
A14,5,41,1,0
A15,20,38,1,0
A16,2,3,1,0
A17,6,20,1,0
A18,33,170,1,0
A19,11,33,1,0
A20,28,39,1,0
A21,9,16,1,0
A22,4,28,1,0
A23,86,97,1,0
A24,5,6,1,0
A25,9,30,1,0
A26,15,60,1,0
A27,14,21,1,0
A28,18,53,1,0
A29,3,7,1,0
A30,15,33,1,0
A31,2,11,1,0
A32,3,11,1,0
A33,6,14,1,0
A34,5,6,1,0
A35,2,22,1,0
A36,18,22,1,0
A37,6,20,1,0
A38,23,55,1,0
A39,16,26,1,0
A40,32,64,1,0
A41,5,5,1,0
A42,43,112,1,0
A43,6,7,1,0
A44,16,29,1,0
A45,8,30,1,0
A46,6,15,1,0
A47,19,22,1,0
A48,9,19,1,0
A49,16,59,1,0
A50,48,107,1,0
A51,28,68,1,0
A52,63,92,1,0
A53,2,4,1,0
A54,17,66,1,0
A55,46,78,1,0
A56,6,19,1,0
A57,57,67,1,0
A58,1,4,1,0
A59,6,4,1,0
A60,7,27,1,0
A61,8,11,1,0
A62,7,32,1,0
A63,18,17,1,0
A64,16,34,1,0
A65,9,64,1,0
A66,23,87,1,0
A67,9,15,1,0
A68,22,37,1,0
A69,12,31,1,0
A70,18,73,1,0
A71,1,0,1,0
A72,10,30,1,0
A73,15,18,1,0
A74,1,4,1,0
A75,10,11,1,0
A76,8,34,1,0
A77,14,15,1,0
A78,3,4,1,0
A79,10,46,1,0
A80,17,3,1,0
A81,80,175,1,0
A82,5,7,1,0
A83,23,68,1,0
A84,50,67,1,0
A85,9,27,1,0
A86,29,53,1,0
A87,7,24,1,0
A88,32,33,1,0
A89,12,80,1,0
A90,10,11,1,0
A91,70,116,1,0
A92,8,13,1,0
A93,12,51,1,0
A94,17,97,1,0
A95,11,20,1,0
A96,16,79,1,0
A97,3,8,1,0
A98,17,25,1,0
A99,24,53,1,0
A100,18,87,1,0
A101,18,15,1,0
A102,18,58,1,0
A103,8,18,1,0
A104,11,26,1,0
A105,8,16,1,0
A106,10,11,1,0
A107,25,23,1,0
A108,1,15,1,0
A109,20,34,1,0
A110,16,50,1,0
A111,11,27,1,0
A112,12,45,1,0
A113,19,45,1,0
A114,21,24,1,0
A115,9,11,1,0
A116,22,54,1,0
A117,5,20,1,0
A118,8,38,1,0
A119,56,40,1,0
A120,15,37,1,0
A121,16,78,1,0
A122,6,30,1,0
A123,14,11,1,0
A124,2,1,1,0
A125,13,56,1,0
A126,5,19,1,0
A127,12,18,1,0
A128,1,11,1,0
A129,17,26,1,0
A130,15,7,1,0
A131,22,53,1,0
A132,33,44,1,0
A133,9,46,1,0
A134,16,33,1,0
A135,17,56,1,0
A136,1,2,1,0
A137,20,55,1,0
A138,9,16,1,0
A139,9,21,1,0
A140,9,19,1,0
A141,5,6,1,0
A142,5,15,1,0
A143,1,3,1,0
A144,5,9,1,0
A145,12,15,1,0
A146,38,70,1,0
A147,3,5,1,0
A148,54,129,1,0
A149,34,50,1,0
A150,16,57,1,0
A151,5,14,1,0
A152,7,9,1,0
A153,20,41,1,0
A154,25,76,1,0
A155,29,91,1,0
A156,6,13,1,0
A157,2,0,1,0
A158,2,4,1,0
A159,7,34,1,0
A160,9,37,1,0
A161,4,20,1,0
A162,17,32,1,0
A163,32,84,1,0
A164,14,59,1,0
A165,7,30,1,0
A166,6,12,1,0
A167,4,10,1,0
A168,2,3,1,0
A169,1,3,1,0
A170,6,14,1,0
A171,20,70,1,0
A172,11,27,1,0
A173,40,77,1,0
A174,43,86,1,0
A175,4,19,1,0
A176,14,27,1,0
A177,4,10,1,0
A178,6,11,1,0
A179,2,12,1,0
A180,9,13,1,0
A181,7,20,1,0
A182,10,12,1,0
A183,22,61,1,0
A184,24,32,1,0
A185,20,58,1,0
A186,12,56,1,0
A187,3,5,1,0
A188,4,10,1,0
A189,5,11,1,0
A190,10,18,1,0
A191,7,25,1,0
A192,42,60,1,0
A193,5,20,1,0
A194,35,62,1,0
A195,40,60,1,0
A196,1,2,1,0
A197,15,41,1,0
A198,14,9,1,0
A199,10,28,1,0
A200,2,4,1,0
A201,3,9,1,0
A202,99,234,1,0
A203,11,38,1,0
A204,6,6,1,0
A205,8,26,1,0
