Source,Target
16116,A1
55530,A2
5460,A3
50874,A2
10441,A4
40524,A5
14497,A6
38514,A5
38572,A5
38681,A5
15905,A7
37727,A5
17079,A8
18055,A9
17947,A10
12868,A11
17303,E1
2073,A12
4911,A13
5174,A14
6073,A15
6723,E2
53336,A16
7694,A17
7620,A18
51550,A19
8652,A13
8619,A13
9332,A20
9410,A21
48357,A19
11566,A9
44245,A22
13156,A23
12979,A24
42955,A25
13342,A26
43342,A27
14063,A18
14585,A21
41086,A27
15106,A28
15235,A28
39057,A29
39167,A2
15617,A30
39367,A31
16073,A28
37002,A32
17060,A23
36200,A33
16983,A9
17446,A34
17484,A35
17550,A23
17762,A34
18371,A9
33088,A36
33076,A31
18651,A34
18768,A37
32293,A31
18795,A37
32027,A31
32055,A31
19023,A34
19075,A28
60540,A12
619,A28
58378,A38
1935,A39
1804,A21
59072,A12
2238,A12
59127,A12
1909,A28
2433,A12
2879,A9
2797,A12
57558,A36
57747,A12
3080,A12
3680,A28
55496,A38
55672,A40
56018,A41
4581,A12
4183,A42
4247,A43
53975,A38
5594,A44
54784,A19
5417,A13
5567,A45
6893,A12
6518,A46
52843,A47
52935,A48
52951,A49
7159,A9
8134,A50
7200,A8
7612,A42
49395,A51
8887,A52
9147,A53
50173,A54
8450,A55
8973,A32
50394,A56
8629,A28
8301,A28
50680,A57
9605,A58
48534,A59
49223,A27
10375,A60
47100,A61
10425,A62
10299,A63
11421,A64
11864,A62
12300,A55
43105,A65
13149,A66
43632,A67
13661,A19
14162,A3
41711,A68
14114,A69
14273,A70
13894,E3
14609,A71
40577,A72
14422,A73
14675,A21
14572,E4
14716,A74
14667,A75
14411,A55
14670,A1
15259,A28
14995,A76
15389,A77
15081,A45
15191,A1
15108,A17
14937,A45
14981,A52
15208,E3
15197,A78
40102,A25
15473,A79
14929,A17
15258,E3
15716,A80
15813,A45
38951,A25
16290,A9
37652,A15
16333,A81
16135,A58
37831,A68
38066,A20
16061,A77
16457,A82
38281,A27
16804,A28
16678,A52
16715,A83
16670,E5
37089,A68
37169,A23
16696,A55
16586,A84
16839,A80
16843,A71
16853,A4
37521,A85
17093,A58
16881,A9
